AreaName,Sex,Value
England,Male,79.65706644
England,Female,83.24904021
Old Trafford,Male,76.18783733
Old Trafford,Female,83.61870735
Trafford Park West & Kingsway Park,Male,81.91893192
Trafford Park West & Kingsway Park,Female,84.94027703
Gorse Hill,Male,77.38423452
Gorse Hill,Female,81.99860579
Firswood,Male,77.45288912
Firswood,Female,84.29105031
Davyhulme,Male,80.43089377
Davyhulme,Female,84.57141461
Trafford Park East & Sevenways,Male,80.17617898
Trafford Park East & Sevenways,Female,83.48493145
Flixton & Moorside,Male,79.28123988
Flixton & Moorside,Female,83.17487714
Lostock & Stretford Meadows,Male,78.36308334
Lostock & Stretford Meadows,Female,80.57935768
Urmston East,Male,76.15111112
Urmston East,Female,80.58059216
Urmston West,Male,78.95181391
Urmston West,Female,84.24660627
Stretford East,Male,75.89491415
Stretford East,Female,82.48044371
Sale North,Male,81.44194264
Sale North,Female,84.94348992
Ashton upon Mersey North,Male,80.42939019
Ashton upon Mersey North,Female,84.92445693
Sale East,Male,82.77153386
Sale East,Female,86.47055518
Sale Central,Male,81.41689264
Sale Central,Female,82.56131219
Ashton upon Mersey South,Male,79.81336553
Ashton upon Mersey South,Female,86.44433057
Partington,Male,74.93691637
Partington,Female,77.65767324
Sale Moor,Male,78.18136154
Sale Moor,Female,82.94273056
Broadheath & Firsway,Male,79.79004618
Broadheath & Firsway,Female,83.43505619
West Timperley,Male,82.37725965
West Timperley,Female,83.20545076
Timperley North,Male,83.76150736
Timperley North,Female,86.15655975
Timperley East,Male,79.69204835
Timperley East,Female,82.344021
Timperley South,Male,83.26877778
Timperley South,Female,86.66408545
Altrincham East,Male,80.21834201
Altrincham East,Female,83.75849664
"Altrincham West, Dunham & Warburton",Male,81.64444227
"Altrincham West, Dunham & Warburton",Female,86.81091153
Hale,Male,82.46020703
Hale,Female,87.29339528
Bowdon,Male,82.71845741
Bowdon,Female,86.9107021
Hale Barns,Male,83.7258323
Hale Barns,Female,87.05525879
